,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Season,Lg,Champion,MVP,Rookie of the Year,Points,Rebounds,Assists,Win Shares
0,0,0,0,2023,NBA,,,,L. Dončić (1258),D. Sabonis (470),T. Haliburton (402),N. Jokić (8.1)
1,1,1,1,2022,NBA,Golden State Warriors,N. Jokić,S. Barnes,T. Young (2155),N. Jokić (1019),T. Young (737),N. Jokić (15.2)
2,2,2,2,2021,NBA,Milwaukee Bucks,N. Jokić,L. Ball,S. Curry (2015),R. Gobert (960),R. Westbrook (763),N. Jokić (15.6)
3,3,3,3,2020,NBA,Los Angeles Lakers,G. Antetokounmpo,J. Morant,J. Harden (2335),R. Gobert (916),L. James (684),J. Harden (13.1)
4,4,4,4,2019,NBA,Toronto Raptors,G. Antetokounmpo,L. Dončić,J. Harden (2818),A. Drummond (1232),R. Westbrook (784),J. Harden (15.2)
5,5,5,5,2018,NBA,Golden State Warriors,J. Harden,B. Simmons,L. James (2251),A. Drummond (1247),R. Westbrook (820),J. Harden (15.4)
6,6,6,6,2017,NBA,Golden State Warriors,R. Westbrook,M. Brogdon,R. Westbrook (2558),A. Drummond (1115),J. Harden (907),J. Harden (15.0)
7,7,7,7,2016,NBA,Cleveland Cavaliers,S. Curry,K. Towns,J. Harden (2376),A. Drummond (1198),R. Rondo (839),S. Curry (17.9)
8,8,8,8,2015,NBA,Golden State Warriors,S. Curry,A. Wiggins,J. Harden (2217),D. Jordan (1226),C. Paul (838),J. Harden (16.4)
9,9,9,9,2014,NBA,San Antonio Spurs,K. Durant,M. Carter-Williams,K. Durant (2593),D. Jordan (1114),J. Wall (721),K. Durant (19.2)
10,10,10,10,2013,NBA,Miami Heat,L. James,D. Lillard,K. Durant (2280),Ö. Aşık (956),G. Vásquez (704),L. James (19.3)
11,11,11,11,2012,NBA,Miami Heat,L. James,K. Irving,K. Durant (1850),D. Howard (785),S. Nash (664),L. James (14.5)
12,12,12,12,2011,NBA,Dallas Mavericks,D. Rose,B. Griffin,K. Durant (2161),K. Love (1112),S. Nash (855),L. James (15.6)
13,13,13,13,2010,NBA,Los Angeles Lakers,L. James,T. Evans,K. Durant (2472),D. Howard (1082),S. Nash (892),L. James (18.5)
14,14,14,14,2009,NBA,Los Angeles Lakers,L. James,D. Rose,D. Wade (2386),D. Howard (1093),C. Paul (861),L. James (20.3)
15,15,15,15,2008,NBA,Boston Celtics,K. Bryant,K. Durant,K. Bryant (2323),D. Howard (1161),C. Paul (925),C. Paul (17.8)
16,16,16,16,2007,NBA,San Antonio Spurs,D. Nowitzki,B. Roy,K. Bryant (2430),D. Howard (1008),S. Nash (884),D. Nowitzki (16.3)
17,17,17,17,2006,NBA,Miami Heat,S. Nash,C. Paul,K. Bryant (2832),D. Howard (1022),S. Nash (826),D. Nowitzki (17.7)
18,18,18,18,2005,NBA,San Antonio Spurs,S. Nash,E. Okafor,A. Iverson (2302),K. Garnett (1108),S. Nash (861),K. Garnett (16.1)
19,19,19,19,2004,NBA,Detroit Pistons,K. Garnett,L. James,K. Garnett (1987),K. Garnett (1139),S. Marbury (719),K. Garnett (18.3)
20,20,20,20,2003,NBA,San Antonio Spurs,T. Duncan,A. Stoudemire,K. Bryant (2461),B. Wallace (1126),J. Kidd (711),T. Duncan (16.5)
21,21,21,21,2002,NBA,Los Angeles Lakers,T. Duncan,P. Gasol,P. Pierce (2144),T. Duncan (1042),A. Miller (882),T. Duncan (17.8)
22,22,22,22,2001,NBA,Los Angeles Lakers,A. Iverson,M. Miller,J. Stackhouse (2380),B. Wallace (1052),J. Kidd (753),S. O'Neal (14.9)
23,23,23,23,2000,NBA,Los Angeles Lakers,S. O'Neal,"E. Brand, S. Francis",S. O'Neal (2344),D. Mutombo (1157),G. Payton (732),S. O'Neal (18.6)
24,24,24,24,1999,NBA,San Antonio Spurs,K. Malone,V. Carter,S. O'Neal (1289),D. Mutombo (610),J. Kidd (539),K. Malone (9.6)
25,25,25,25,1998,NBA,Chicago Bulls,M. Jordan,T. Duncan,M. Jordan (2357),D. Rodman (1201),R. Strickland (801),K. Malone (16.4)
26,26,26,26,1997,NBA,Chicago Bulls,K. Malone,A. Iverson,M. Jordan (2431),D. Mutombo (929),M. Jackson (935),M. Jordan (18.3)
27,27,27,27,1996,NBA,Chicago Bulls,M. Jordan,D. Stoudamire,M. Jordan (2491),D. Robinson (1000),J. Stockton (916),M. Jordan (20.4)
28,28,28,28,1995,NBA,Houston Rockets,D. Robinson,"G. Hill, J. Kidd",S. O'Neal (2315),D. Mutombo (1029),J. Stockton (1011),D. Robinson (17.5)
29,29,29,29,1994,NBA,Houston Rockets,H. Olajuwon,C. Webber,D. Robinson (2383),D. Rodman (1367),J. Stockton (1031),D. Robinson (20.0)
30,30,30,30,1993,NBA,Chicago Bulls,C. Barkley,S. O'Neal,M. Jordan (2541),D. Rodman (1132),J. Stockton (987),M. Jordan (17.2)
31,31,31,31,1992,NBA,Chicago Bulls,M. Jordan,L. Johnson,M. Jordan (2404),D. Rodman (1530),J. Stockton (1126),M. Jordan (17.7)
32,32,32,32,1991,NBA,Chicago Bulls,M. Jordan,D. Coleman,M. Jordan (2580),D. Robinson (1063),J. Stockton (1164),M. Jordan (20.3)
33,33,33,33,1990,NBA,Detroit Pistons,M. Johnson,D. Robinson,M. Jordan (2753),H. Olajuwon (1149),J. Stockton (1134),M. Jordan (19.0)
34,34,34,34,1989,NBA,Detroit Pistons,M. Johnson,M. Richmond,M. Jordan (2633),H. Olajuwon (1105),J. Stockton (1118),M. Jordan (19.8)
35,35,35,35,1988,NBA,Los Angeles Lakers,M. Jordan,M. Jackson,M. Jordan (2868),C. Oakley (1066),J. Stockton (1128),M. Jordan (21.2)
36,36,36,36,1987,NBA,Los Angeles Lakers,M. Johnson,C. Person,M. Jordan (3041),C. Oakley (1074),M. Johnson (977),M. Jordan (16.9)
37,37,37,37,1986,NBA,Boston Celtics,L. Bird,P. Ewing,A. English (2414),B. Laimbeer (1075),M. Johnson (907),L. Bird (15.8)
38,38,38,38,1985,NBA,Los Angeles Lakers,L. Bird,M. Jordan,M. Jordan (2313),M. Malone (1031),I. Thomas (1123),L. Bird (15.7)
39,39,39,39,1984,NBA,Boston Celtics,L. Bird,R. Sampson,A. Dantley (2418),B. Laimbeer (1003),N. Nixon (914),A. Dantley (14.6)
40,40,40,40,1983,NBA,Philadelphia 76ers,M. Malone,T. Cummings,A. English (2326),M. Malone (1194),M. Johnson (829),M. Malone (15.1)
41,41,41,41,1982,NBA,Los Angeles Lakers,M. Malone,B. Williams,G. Gervin (2551),M. Malone (1188),J. Moore (762),M. Malone (15.4)
42,42,42,42,1981,NBA,Boston Celtics,J. Erving,D. Griffith,A. Dantley (2452),M. Malone (1180),K. Porter (734),K. Abdul-Jabbar (14.3)
